video_id,seg_id,clip_path,t_start,t_end,predicted_class,similarity,status
-aaTTl2RFFI,seg_0000_3,-aaTTl2RFFI/clips/seg_0000_3.mp4,0.125,1.168,acontecer,0.5024558305740356,desconhecido
-aaTTl2RFFI,seg_0004_283,-aaTTl2RFFI/clips/seg_0004_283.mp4,11.803,12.638,espelho,0.562899112701416,desconhecido
-aaTTl2RFFI,seg_0005_339,-aaTTl2RFFI/clips/seg_0005_339.mp4,14.139,15.224,maca,0.6311455368995667,confiante
-aaTTl2RFFI,seg_0006_359,-aaTTl2RFFI/clips/seg_0006_359.mp4,14.973,16.058,maca,0.42860954999923706,desconhecido
-aaTTl2RFFI,seg_0010_459,-aaTTl2RFFI/clips/seg_0010_459.mp4,19.144,20.062,vacina,0.46512675285339355,desconhecido
-aaTTl2RFFI,seg_0012_496,-aaTTl2RFFI/clips/seg_0012_496.mp4,20.687,21.563,vacina,0.5108738541603088,desconhecido
-aaTTl2RFFI,seg_0014_648,-aaTTl2RFFI/clips/seg_0014_648.mp4,27.027,27.319,acontecer,0.7154623866081238,confiante
-aaTTl2RFFI,seg_0015_660,-aaTTl2RFFI/clips/seg_0015_660.mp4,27.527,28.111,acontecer,0.7767449617385864,confiante
-aaTTl2RFFI,seg_0016_780,-aaTTl2RFFI/clips/seg_0016_780.mp4,32.532,33.116,acontecer,0.6259850263595581,confiante
-aaTTl2RFFI,seg_0017_841,-aaTTl2RFFI/clips/seg_0017_841.mp4,35.077,35.744,acontecer,0.6319627165794373,confiante
-aaTTl2RFFI,seg_0020_962,-aaTTl2RFFI/clips/seg_0020_962.mp4,40.123,40.499,acontecer,0.6993324756622314,confiante
-aaTTl2RFFI,seg_0025_1182,-aaTTl2RFFI/clips/seg_0025_1182.mp4,49.299,50.05,acontecer,0.749435305595398,confiante
-aaTTl2RFFI,seg_0027_1211,-aaTTl2RFFI/clips/seg_0027_1211.mp4,50.509,51.218,acontecer,0.7949082255363464,confiante
-aaTTl2RFFI,seg_0030_1261,-aaTTl2RFFI/clips/seg_0030_1261.mp4,52.594,53.428,vacina,0.4553607106208801,desconhecido
-aaTTl2RFFI,seg_0038_1534,-aaTTl2RFFI/clips/seg_0038_1534.mp4,63.981,64.314,acontecer,0.8507834672927856,confiante
-aaTTl2RFFI,seg_0040_1563,-aaTTl2RFFI/clips/seg_0040_1563.mp4,65.19,65.607,america,0.5381170511245728,desconhecido
-aaTTl2RFFI,seg_0042_1589,-aaTTl2RFFI/clips/seg_0042_1589.mp4,66.275,66.566,acontecer,0.6243368983268738,confiante
-aaTTl2RFFI,seg_0045_1630,-aaTTl2RFFI/clips/seg_0045_1630.mp4,67.985,68.36,acontecer,0.5074987411499023,desconhecido
-aaTTl2RFFI,seg_0046_1644,-aaTTl2RFFI/clips/seg_0046_1644.mp4,68.568,68.902,acontecer,0.4545849561691284,desconhecido
-aaTTl2RFFI,seg_0047_1678,-aaTTl2RFFI/clips/seg_0047_1678.mp4,69.987,70.696,acontecer,0.7159905433654785,confiante
-aaTTl2RFFI,seg_0049_1701,-aaTTl2RFFI/clips/seg_0049_1701.mp4,70.946,72.03,acontecer,0.6875141859054565,confiante
-aaTTl2RFFI,seg_0052_1862,-aaTTl2RFFI/clips/seg_0052_1862.mp4,77.661,78.078,acontecer,0.6911938786506653,confiante
-aaTTl2RFFI,seg_0053_1890,-aaTTl2RFFI/clips/seg_0053_1890.mp4,78.829,79.162,acontecer,0.6324370503425598,confiante
-aaTTl2RFFI,seg_0057_2023,-aaTTl2RFFI/clips/seg_0057_2023.mp4,84.376,85.252,acontecer,0.7794982194900513,confiante
-aaTTl2RFFI,seg_0059_2077,-aaTTl2RFFI/clips/seg_0059_2077.mp4,86.628,87.671,acontecer,0.6360360980033875,confiante
-aaTTl2RFFI,seg_0063_2162,-aaTTl2RFFI/clips/seg_0063_2162.mp4,90.173,90.799,acontecer,0.6079822182655334,desconhecido
-aaTTl2RFFI,seg_0064_2200,-aaTTl2RFFI/clips/seg_0064_2200.mp4,91.758,92.05,acontecer,0.34469687938690186,desconhecido
-aaTTl2RFFI,seg_0066_2230,-aaTTl2RFFI/clips/seg_0066_2230.mp4,93.01,93.885,acontecer,0.42895394563674927,desconhecido
-aaTTl2RFFI,seg_0068_2303,-aaTTl2RFFI/clips/seg_0068_2303.mp4,96.054,96.555,acontecer,0.6340104341506958,confiante
-aaTTl2RFFI,seg_0070_2374,-aaTTl2RFFI/clips/seg_0070_2374.mp4,99.016,99.808,acontecer,0.7918005585670471,confiante
-aaTTl2RFFI,seg_0072_2420,-aaTTl2RFFI/clips/seg_0072_2420.mp4,100.934,101.476,acontecer,0.6353988647460938,confiante
-aaTTl2RFFI,seg_0074_2638,-aaTTl2RFFI/clips/seg_0074_2638.mp4,110.027,110.36,espelho,0.6286618709564209,confiante
-aaTTl2RFFI,seg_0077_2790,-aaTTl2RFFI/clips/seg_0077_2790.mp4,116.366,116.825,acontecer,0.8512758016586304,confiante
-aaTTl2RFFI,seg_0078_2848,-aaTTl2RFFI/clips/seg_0078_2848.mp4,118.785,119.244,acontecer,0.7180405855178833,confiante
-aaTTl2RFFI,seg_0079_2878,-aaTTl2RFFI/clips/seg_0079_2878.mp4,120.037,120.495,acontecer,0.8305383920669556,confiante
-aaTTl2RFFI,seg_0081_2929,-aaTTl2RFFI/clips/seg_0081_2929.mp4,122.164,122.873,acontecer,0.5419113636016846,desconhecido
-aaTTl2RFFI,seg_0083_2972,-aaTTl2RFFI/clips/seg_0083_2972.mp4,123.957,124.875,acontecer,0.8382391929626465,confiante
-aaTTl2RFFI,seg_0085_3090,-aaTTl2RFFI/clips/seg_0085_3090.mp4,128.879,129.212,acontecer,0.8228387832641602,confiante
-aaTTl2RFFI,seg_0086_3312,-aaTTl2RFFI/clips/seg_0086_3312.mp4,138.138,138.43,america,0.5612156391143799,desconhecido
-aaTTl2RFFI,seg_0088_3353,-aaTTl2RFFI/clips/seg_0088_3353.mp4,139.848,140.223,aproveitar,0.4261442720890045,desconhecido
-aaTTl2RFFI,seg_0092_3530,-aaTTl2RFFI/clips/seg_0092_3530.mp4,147.23,147.606,acontecer,0.6413236856460571,confiante
-aaTTl2RFFI,seg_0094_3578,-aaTTl2RFFI/clips/seg_0094_3578.mp4,149.232,149.691,acontecer,0.7232807278633118,confiante
-aaTTl2RFFI,seg_0095_3599,-aaTTl2RFFI/clips/seg_0095_3599.mp4,150.108,151.068,acontecer,0.7362213730812073,confiante
-aaTTl2RFFI,seg_0096_3614,-aaTTl2RFFI/clips/seg_0096_3614.mp4,150.734,151.777,acontecer,0.6163012981414795,desconhecido
-aaTTl2RFFI,seg_0097_3644,-aaTTl2RFFI/clips/seg_0097_3644.mp4,151.985,152.819,acontecer,0.7750345468521118,confiante
-aaTTl2RFFI,seg_0098_3686,-aaTTl2RFFI/clips/seg_0098_3686.mp4,153.737,154.821,acontecer,0.7223663926124573,confiante
