video_id,class,user_id,pkl_path,status,n_frames,motivo
20210411080131_6072d70b74896.mp4,À noite toda,Articulador3,data/v_librasil_landmarks/20210411080131_6072d70b74896.pkl,ok,389,
20210929042018_6154bc720abf7.mp4,À noite toda,Articulador2,data/v_librasil_landmarks/20210929042018_6154bc720abf7.pkl,ok,148,
20210126072453_601096b5ed907.mp4,À noite toda,Articulador1,data/v_librasil_landmarks/20210126072453_601096b5ed907.pkl,ok,189,
20210329103021_6061d66d229d2.mp4,À tarde toda,Articulador3,data/v_librasil_landmarks/20210329103021_6061d66d229d2.pkl,ok,296,
20201221023954_5fe0ddea96624.mp4,À tarde toda,Articulador2,data/v_librasil_landmarks/20201221023954_5fe0ddea96624.pkl,ok,260,
20201221023954_5fe0ddea908eb.mp4,À tarde toda,Articulador1,data/v_librasil_landmarks/20201221023954_5fe0ddea908eb.pkl,ok,133,
20210127091036_6011583c87073.mp4,Abacaxi,Articulador3,data/v_librasil_landmarks/20210127091036_6011583c87073.pkl,ok,173,
20210929043133_6154bf1508f4a.mp4,Abacaxi,Articulador2,data/v_librasil_landmarks/20210929043133_6154bf1508f4a.pkl,ok,135,
20210128115432_601378e8d032d.mp4,Abacaxi,Articulador1,data/v_librasil_landmarks/20210128115432_601378e8d032d.pkl,ok,172,
20210623032101_60d37b8df3734.mp4,Abanar,Articulador3,data/v_librasil_landmarks/20210623032101_60d37b8df3734.pkl,ok,162,
20210929042550_6154bdbe88959.mp4,Abanar,Articulador2,data/v_librasil_landmarks/20210929042550_6154bdbe88959.pkl,ok,116,
20210501070948_608d28ecb0e74.mp4,Abanar,Articulador1,data/v_librasil_landmarks/20210501070948_608d28ecb0e74.pkl,ok,407,
20210331110628_606481e488ae6.mp4,Abandonar,Articulador3,data/v_librasil_landmarks/20210331110628_606481e488ae6.pkl,ok,110,
20210209055625_6022f6f9e1a7b.mp4,Abandonar,Articulador2,data/v_librasil_landmarks/20210209055625_6022f6f9e1a7b.pkl,ok,150,
20201221125913_5fe0c651a8bc2.mp4,Abandonar,Articulador1,data/v_librasil_landmarks/20201221125913_5fe0c651a8bc2.pkl,ok,133,
20210128033241_6013034933114.mp4,Abelha,Articulador3,data/v_librasil_landmarks/20210128033241_6013034933114.pkl,ok,182,
20210929043212_6154bf3c31c6d.mp4,Abelha,Articulador2,data/v_librasil_landmarks/20210929043212_6154bf3c31c6d.pkl,ok,174,
20210505115038_6092b0be62225.mp4,Abelha,Articulador1,data/v_librasil_landmarks/20210505115038_6092b0be62225.pkl,ok,290,
20210331110631_606481e74680e.mp4,Abençoar,Articulador3,data/v_librasil_landmarks/20210331110631_606481e74680e.pkl,ok,135,
20201223080800_5fe3cdd0d9774.mp4,Abençoar,Articulador2,data/v_librasil_landmarks/20201223080800_5fe3cdd0d9774.pkl,ok,129,
20201222044636_5fe24d1cce30a.mp4,Abençoar,Articulador1,data/v_librasil_landmarks/20201222044636_5fe24d1cce30a.pkl,ok,163,
20210128055247_6013241f54f42.mp4,Abóbora,Articulador3,data/v_librasil_landmarks/20210128055247_6013241f54f42.pkl,ok,168,
20210929043239_6154bf5725f4a.mp4,Abóbora,Articulador2,data/v_librasil_landmarks/20210929043239_6154bf5725f4a.pkl,ok,200,
20210505074700_609277a470e6b.mp4,Abóbora,Articulador1,data/v_librasil_landmarks/20210505074700_609277a470e6b.pkl,ok,356,
20210331110633_606481e98b276.mp4,Aborto,Articulador3,data/v_librasil_landmarks/20210331110633_606481e98b276.pkl,ok,128,
20210929043258_6154bf6a9bb7a.mp4,Aborto,Articulador2,data/v_librasil_landmarks/20210929043258_6154bf6a9bb7a.pkl,ok,145,
20210908085313_61394ce9b2f61.mp4,Aborto,Articulador1,data/v_librasil_landmarks/20210908085313_61394ce9b2f61.pkl,ok,95,
20210331110639_606481ef54c64.mp4,Abraço,Articulador3,data/v_librasil_landmarks/20210331110639_606481ef54c64.pkl,ok,135,
20210114111956_6000530cf225e.mp4,Abraço,Articulador2,data/v_librasil_landmarks/20210114111956_6000530cf225e.pkl,ok,149,
20210114111956_6000530ce4618.mp4,Abraço,Articulador1,data/v_librasil_landmarks/20210114111956_6000530ce4618.pkl,ok,172,
20210127091430_601159269ac75.mp4,Abrir a janela,Articulador3,data/v_librasil_landmarks/20210127091430_601159269ac75.pkl,ok,288,
20210929043317_6154bf7dbcbc9.mp4,Abrir a janela,Articulador2,data/v_librasil_landmarks/20210929043317_6154bf7dbcbc9.pkl,ok,143,
20211029045051_617c509bd708e.mp4,Abrir a janela,Articulador1,data/v_librasil_landmarks/20211029045051_617c509bd708e.pkl,ok,195,
20210331110637_606481edd2909.mp4,Abrir a porta,Articulador3,data/v_librasil_landmarks/20210331110637_606481edd2909.pkl,ok,139,
20210929043334_6154bf8e5268a.mp4,Abrir a porta,Articulador2,data/v_librasil_landmarks/20210929043334_6154bf8e5268a.pkl,ok,184,
20210126072622_6010970e6c7c1.mp4,Abrir a porta,Articulador1,data/v_librasil_landmarks/20210126072622_6010970e6c7c1.pkl,ok,189,
20210329103832_6061d85863bc8.mp4,Acabar,Articulador3,data/v_librasil_landmarks/20210329103832_6061d85863bc8.pkl,ok,234,
20201221031803_5fe0e6db0ee2e.mp4,Acabar,Articulador2,data/v_librasil_landmarks/20201221031803_5fe0e6db0ee2e.pkl,ok,376,
20201221031803_5fe0e6db09db5.mp4,Acabar,Articulador1,data/v_librasil_landmarks/20201221031803_5fe0e6db09db5.pkl,ok,133,
20210331110654_606481fe03b25.mp4,Academia,Articulador3,data/v_librasil_landmarks/20210331110654_606481fe03b25.pkl,ok,139,
20210929043349_6154bf9d1bdf1.mp4,Academia,Articulador2,data/v_librasil_landmarks/20210929043349_6154bf9d1bdf1.pkl,ok,110,
20210123052640_600c868082968.mp4,Academia,Articulador1,data/v_librasil_landmarks/20210123052640_600c868082968.pkl,ok,187,
20210331111451_606483db6482a.mp4,Ação,Articulador3,data/v_librasil_landmarks/20210331111451_606483db6482a.pkl,ok,115,
20210114112159_60005387181b9.mp4,Ação,Articulador2,data/v_librasil_landmarks/20210114112159_60005387181b9.pkl,ok,136,
20210114112159_600053870db18.mp4,Ação,Articulador1,data/v_librasil_landmarks/20210114112159_600053870db18.pkl,ok,147,
20210331111453_606483dd65a02.mp4,Aceitar,Articulador3,data/v_librasil_landmarks/20210331111453_606483dd65a02.pkl,ok,117,
20210929043409_6154bfb1176fc.mp4,Aceitar,Articulador2,data/v_librasil_landmarks/20210929043409_6154bfb1176fc.pkl,ok,114,
20210505115046_6092b0c68de8d.mp4,Aceitar,Articulador1,data/v_librasil_landmarks/20210505115046_6092b0c68de8d.pkl,ok,252,
20210128055303_6013242f8533d.mp4,Acenar,Articulador3,data/v_librasil_landmarks/20210128055303_6013242f8533d.pkl,ok,130,
20210929043424_6154bfc0461c6.mp4,Acenar,Articulador2,data/v_librasil_landmarks/20210929043424_6154bfc0461c6.pkl,ok,88,
20210505074730_609277c246531.mp4,Acenar,Articulador1,data/v_librasil_landmarks/20210505074730_609277c246531.pkl,ok,234,
20210331111453_606483ddb45af.mp4,Acidente,Articulador3,data/v_librasil_landmarks/20210331111453_606483ddb45af.pkl,ok,146,
20201221020706_5fe0d63a1c09b.mp4,Acidente,Articulador2,data/v_librasil_landmarks/20201221020706_5fe0d63a1c09b.pkl,ok,415,
20210210072522_6023b492c23b2.mp4,Acidente,Articulador1,data/v_librasil_landmarks/20210210072522_6023b492c23b2.pkl,ok,142,
20210329103841_6061d8611d21a.mp4,Acima,Articulador3,data/v_librasil_landmarks/20210329103841_6061d8611d21a.pkl,ok,267,
20201221010202_5fe0c6fa5860c.mp4,Acima,Articulador2,data/v_librasil_landmarks/20201221010202_5fe0c6fa5860c.pkl,ok,330,
20201221010202_5fe0c6fa53800.mp4,Acima,Articulador1,data/v_librasil_landmarks/20201221010202_5fe0c6fa53800.pkl,ok,154,
20210331111458_606483e2cc0bc.mp4,Acompanhar,Articulador3,data/v_librasil_landmarks/20210331111458_606483e2cc0bc.pkl,ok,121,
20201221020919_5fe0d6bfe16a7.mp4,Acompanhar,Articulador2,data/v_librasil_landmarks/20201221020919_5fe0d6bfe16a7.pkl,ok,388,
20201221020919_5fe0d6bfd692f.mp4,Acompanhar,Articulador1,data/v_librasil_landmarks/20201221020919_5fe0d6bfd692f.pkl,ok,162,
20210331111453_606483dde8883.mp4,Aconselhar,Articulador3,data/v_librasil_landmarks/20210331111453_606483dde8883.pkl,ok,130,
20201221022752_5fe0db184b969.mp4,Aconselhar,Articulador2,data/v_librasil_landmarks/20201221022752_5fe0db184b969.pkl,ok,276,
20210505115045_6092b0c5b0f33.mp4,Aconselhar,Articulador1,data/v_librasil_landmarks/20210505115045_6092b0c5b0f33.pkl,ok,392,
20210331111458_606483e2344ac.mp4,Acontecer,Articulador3,data/v_librasil_landmarks/20210331111458_606483e2344ac.pkl,ok,128,
20210929043448_6154bfd82807a.mp4,Acontecer,Articulador2,data/v_librasil_landmarks/20210929043448_6154bfd82807a.pkl,ok,253,
